[22628529][System][I] PWR 3.82V, -370ma
[22688533][System][I] PWR 3.82V, -373ma
[22748545][System][I] PWR 3.82V, -335ma
[22808552][System][I] PWR 3.83V, -298ma
[22868558][System][I] PWR 3.82V, -366ma
[22928564][System][I] PWR 3.82V, -293ma
[22988568][System][I] PWR 3.82V, -326ma
[23048579][System][I] PWR 3.82V, -370ma
[23108591][System][I] PWR 3.82V, -338ma
[23168602][System][I] PWR 3.81V, -356ma
[23228610][System][I] PWR 3.82V, -351ma
[23288624][System][I] PWR 3.82V, -343ma
[23348630][System][I] PWR 3.81V, -391ma
[23408635][System][I] PWR 3.81V, -358ma
[23468643][System][I] PWR 3.82V, -294ma
[23528657][System][I] PWR 3.81V, -360ma
[23588665][System][I] PWR 3.81V, -360ma
[23648673][System][I] PWR 3.80V, -368ma
[23708678][System][I] PWR 3.81V, -339ma
[23768685][System][I] PWR 3.81V, -306ma
[23828697][System][I] PWR 3.80V, -370ma
[23888713][System][I] PWR 3.80V, -365ma
[23948721][System][I] PWR 3.80V, -318ma
[24008734][System][I] PWR 3.80V, -332ma
[24068743][System][I] PWR 3.80V, -346ma
[24128752][System][I] PWR 3.80V, -369ma
[24188766][System][I] PWR 3.80V, -332ma
[24248770][System][I] PWR 3.80V, -363ma
[24308776][System][I] PWR 3.80V, -342ma
[24368780][System][I] PWR 3.79V, -368ma
[24428784][System][I] PWR 3.80V, -301ma
[24488791][System][I] PWR 3.80V, -303ma
[24548804][System][I] PWR 3.79V, -356ma
[24608816][System][I] PWR 3.79V, -355ma
[24668828][System][I] PWR 3.80V, -303ma
[24728842][System][I] PWR 3.79V, -368ma
[24788851][System][I] PWR 3.79V, -371ma
[24848859][System][I] PWR 3.80V, -311ma
[24908866][System][I] PWR 3.80V, -304ma
[24968878][System][I] PWR 3.80V, -302ma
[25028892][System][I] PWR 3.79V, -309ma
[25088902][System][I] PWR 3.79V, -299ma
[25148911][System][I] PWR 3.79V, -370ma
[25208924][System][I] PWR 3.79V, -335ma
[25268933][System][I] PWR 3.79V, -309ma
[25328938][System][I] PWR 3.79V, -310ma
[25388942][System][I] PWR 3.78V, -363ma
[25448955][System][I] PWR 3.78V, -364ma
[25508969][System][I] PWR 3.78V, -357ma
[25568983][System][I] PWR 3.78V, -364ma
[25628993][System][I] PWR 3.78V, -356ma
[25688998][System][I] PWR 3.79V, -305ma
[25749014][System][I] PWR 3.79V, -303ma
[25809025][System][I] PWR 3.78V, -298ma
[25869041][System][I] PWR 3.78V, -373ma
[25929054][System][I] PWR 3.78V, -324ma
[25989059][System][I] PWR 3.79V, -305ma
[26049067][System][I] PWR 3.78V, -366ma
[26109071][System][I] PWR 3.78V, -363ma
[26169082][System][I] PWR 3.79V, -302ma
[26229092][System][I] PWR 3.77V, -374ma
[26289096][System][I] PWR 3.77V, -371ma
[26349102][System][I] PWR 3.77V, -360ma
[26409113][System][I] PWR 3.78V, -307ma
[26469119][System][I] PWR 3.77V, -366ma
[26529123][System][I] PWR 3.78V, -342ma
[26589133][System][I] PWR 3.78V, -361ma
[26649149][System][I] PWR 3.78V, -304ma
[26709157][System][I] PWR 3.77V, -373ma
[26769166][System][I] PWR 3.78V, -300ma
[26829177][System][I] PWR 3.77V, -366ma
[26889185][System][I] PWR 3.77V, -376ma
[26949191][System][I] PWR 3.78V, -304ma
[27009203][System][I] PWR 3.77V, -376ma
[27069207][System][I] PWR 3.77V, -299ma
[27129216][System][I] PWR 3.77V, -371ma
[27189225][System][I] PWR 3.77V, -307ma
[27249232][System][I] PWR 3.77V, -353ma
[27309241][System][I] PWR 3.77V, -310ma
